번호,재산종류,재산구분,소재지(지번),소재지(도로명),지목(공부),대장면적(단위:㎡)
357,토지,일반재산,서울특별시 용산구 갈월동 93-54,,도로,4.00
358,토지,행정재산,서울특별시 용산구 갈월동 93-49,,도로,463.80
359,토지,일반재산,서울특별시 용산구 갈월동 93-32,,도로,6.90
360,토지,행정재산,서울특별시 용산구 갈월동 93-7,,도로,7.20
361,토지,일반재산,서울특별시 용산구 갈월동 92-51,,도로,0.30
362,토지,행정재산,서울특별시 용산구 갈월동 92-44,,도로,30.10
363,토지,행정재산,서울특별시 용산구 갈월동 92-17,,도로,20.40
364,토지,일반재산,서울특별시 용산구 갈월동 92-11,,대,8.26
365,토지,행정재산,서울특별시 용산구 갈월동 92-5,,도로,115.70
366,토지,행정재산,서울특별시 용산구 갈월동 89-26,,대,11.20
367,토지,행정재산,서울특별시 용산구 갈월동 89-11,,도로,461.50
368,토지,행정재산,서울특별시 용산구 갈월동 87-23,,도로,31.70
369,토지,행정재산,서울특별시 용산구 갈월동 87-20,,도로,13.90
370,토지,일반재산,서울특별시 용산구 갈월동 87-13,,대,49.60
371,토지,일반재산,서울특별시 용산구 갈월동 87-5,,대,1.30
372,토지,행정재산,서울특별시 용산구 갈월동 69-74,,도로,7.30
373,토지,행정재산,서울특별시 용산구 갈월동 69-39,,도로,147.80
374,토지,일반재산,서울특별시 용산구 갈월동 69-36,,도로,82.30
375,토지,행정재산,서울특별시 용산구 갈월동 69-15,,도로,16.50
376,토지,행정재산,서울특별시 용산구 갈월동 65-26,,대,5.50
377,토지,행정재산,서울특별시 용산구 갈월동 65-25,,대,0.10
378,토지,행정재산,서울특별시 용산구 갈월동 65-24,,대,18.50
379,토지,행정재산,서울특별시 용산구 갈월동 65-23,,대,1.30
380,토지,행정재산,서울특별시 용산구 갈월동 65-21,,도로,3.60
