기준일ID,시간대구분,행정동코드,총생활인구수
20260602,15,11200690,65303.149
20260602,15,11200720,8844.4857
20260602,15,11200790,17042.1286
20260602,16,11200520,11211.0608
20260602,16,11200535,20449.5271
20260602,16,11200540,16681.84
20260602,16,11200550,35746.369
20260602,16,11200560,48245.2256
20260602,16,11200570,12560.6481
20260602,16,11200580,7536.7721
20260602,16,11200590,10850.7969
20260602,16,11200615,14084.8459
20260602,16,11200620,10638.3802
20260602,16,11200645,25466.4719
20260602,16,11200650,22454.5183
20260602,16,11200660,32192.2372
20260602,16,11200670,21861.0369
20260602,16,11200690,63846.9919
20260602,16,11200720,8991.9785
20260602,16,11200790,17017.8931
20260602,17,11200520,12019.3082
20260602,17,11200535,21405.3944
20260602,17,11200540,16989.4705
20260602,17,11200550,33808.95
20260602,17,11200560,48718.3638
20260602,17,11200570,12833.5326
20260602,17,11200580,7879.0862
20260602,17,11200590,11335.0262
20260602,17,11200615,14795.5044
20260602,17,11200620,10335.8644
20260602,17,11200645,28904.8494
20260602,17,11200650,21035.2739
20260602,17,11200660,31696.2182
20260602,17,11200670,20474.8908
20260602,17,11200690,60438.7609
20260602,17,11200720,8884.0594
20260602,17,11200790,16638.5276
20260602,18,11200520,13122.5187
20260602,18,11200535,22255.918
20260602,18,11200540,17368.9198
20260602,18,11200550,34553.7868
20260602,18,11200560,51801.1977
20260602,18,11200570,13974.3962
20260602,18,11200580,8981.8088
20260602,18,11200590,11886.444
20260602,18,11200615,15938.0902
20260602,18,11200620,10885.7064
20260602,18,11200645,32626.831
20260602,18,11200650,19619.5013
20260602,18,11200660,29215.2259
20260602,18,11200670,19029.2122
20260602,18,11200690,48886.3458
20260602,18,11200720,8427.4737
20260602,18,11200790,15981.1662
20260602,19,11200520,14349.7733
20260602,19,11200535,22136.2389
20260602,19,11200540,17941.8336
20260602,19,11200550,31535.35
20260602,19,11200560,49076.9132
20260602,19,11200570,14920.5406
20260602,19,11200580,9113.3511
20260602,19,11200590,12342.3823
20260602,19,11200615,16857.4821
20260602,19,11200620,11333.1779
20260602,19,11200645,28897.6912
20260602,19,11200650,17805.7599
20260602,19,11200660,25527.1069
20260602,19,11200670,17520.4325
20260602,19,11200690,40914.7431
20260602,19,11200720,8372.8186
20260602,19,11200790,15907.3999
20260602,20,11200520,15204.5007
20260602,20,11200535,22097.7533
20260602,20,11200540,18162.8519
20260602,20,11200550,30487.3388
20260602,20,11200560,47608.797
20260602,20,11200570,15659.703
20260602,20,11200580,9895.595
20260602,20,11200590,12510.1238
