도로명주소,상권업종대분류명,경도,위도
서울특별시 용산구 한강대로52길 29,음식,126.9727451,37.53180117
서울특별시 용산구 회나무로13길 16,음식,126.9897146,37.54012912
서울특별시 용산구 백범로77길 14,음식,126.9648447,37.53915125
서울특별시 용산구 대사관로 58,음식,127.0046161,37.53326385
서울특별시 용산구 후암로 65,음식,126.9759746,37.55146169
서울특별시 용산구 이촌로 290,음식,126.9787114,37.5180531
서울특별시 용산구 한강대로 69,예술·스포츠,126.9648956,37.52704181
서울특별시 용산구 한강대로 126,음식,126.9696457,37.53062912
서울특별시 용산구 원효로54길 16,음식,126.9622104,37.5349698
서울특별시 용산구 한강대로 32,음식,126.963517,37.52378878
서울특별시 용산구 효창원로62길 16,예술·스포츠,126.9626832,37.53980832
서울특별시 용산구 신흥로 95,음식,126.9850857,37.54553462
서울특별시 용산구 소월로20길 53,소매,126.9846899,37.54424614
서울특별시 용산구 회나무로13길 52-43,음식,126.991027,37.54161587
서울특별시 용산구 후암로 97-1,음식,126.9746499,37.55336252
서울특별시 용산구 장문로 14,음식,126.9921712,37.52868659
서울특별시 용산구 원효로 153-4,음식,126.9601964,37.53509527
서울특별시 용산구 대사관로31길 17,음식,127.0057476,37.5340747
서울특별시 용산구 한강대로 277-1,예술·스포츠,126.9722319,37.54301851
서울특별시 용산구 한강대로23길 55,음식,126.964736,37.5297718
서울특별시 용산구 새창로 181,음식,126.9651758,37.53270919
서울특별시 용산구 이태원로26길 22,음식,126.9935058,37.53342594
서울특별시 용산구 청파로89길 66-1,예술·스포츠,126.9654943,37.55362149
서울특별시 용산구 보광로 126,음식,126.9942298,37.53402965
서울특별시 용산구 청파로85가길 22,숙박,126.9674754,37.55217144
서울특별시 용산구 백범로 325,음식,126.965241,37.53843057
서울특별시 용산구 원효로89길 19,음식,126.9680801,37.54071991
서울특별시 용산구 이태원로 164-1,음식,126.9922385,37.5341737
서울특별시 용산구 이태원로 222-34,숙박,127.000181,37.53428207
서울특별시 용산구 한강대로 260,음식,126.9732281,37.54156813
서울특별시 용산구 새창로 130,음식,126.9610898,37.53594251
서울특별시 용산구 새창로35길 10,음식,126.9617233,37.5362851
서울특별시 용산구 녹사평대로46길 13,음식,126.9876331,37.5373178
서울특별시 용산구 한강대로52길 25-11,음식,126.9728355,37.53234179
서울특별시 용산구 독서당로 73-4,음식,127.0092097,37.53461508
서울특별시 용산구 두텁바위로1길 80,음식,126.9758401,37.54747024
서울특별시 용산구 한강대로104길 38-3,음식,126.9745604,37.55029009
서울특별시 용산구 한강대로23길 55,음식,126.964736,37.5297718
서울특별시 용산구 이태원로16길 14-4,음식,126.9910167,37.5335339
서울특별시 용산구 한강대로 95,음식,126.9666597,37.5288173
서울특별시 용산구 소월로2길 11,음식,126.9767318,37.55452523
서울특별시 용산구 이태원로27가길 37,음식,126.9931096,37.53487653
서울특별시 용산구 우사단로 33,음식,126.9954178,37.53320979
서울특별시 용산구 청파로 273,음식,126.970421,37.54393709
서울특별시 용산구 후암로57길 9-10,숙박,126.9745482,37.55292101
서울특별시 용산구 녹사평대로 224-1,음식,126.9869542,37.53774119
서울특별시 용산구 보광로59길 36,음식,126.9920123,37.53395744
서울특별시 용산구 원효로19길 34,음식,126.9537259,37.53311972
서울특별시 용산구 청파로89길 56,음식,126.9660263,37.5533153
서울특별시 용산구 한강대로 264,음식,126.9731941,37.54183842
서울특별시 용산구 녹사평대로26길 30,소매,126.991741,37.53111927
서울특별시 용산구 후암로57길 61,음식,126.9741302,37.5507405
서울특별시 용산구 우사단로10길 39,음식,126.9976127,37.53325491
서울특별시 용산구 이태원로42길 60,음식,127.0013804,37.53707516
서울특별시 용산구 녹사평대로40길 48,음식,126.9883804,37.53438962
서울특별시 용산구 이태원로54가길 12,음식,127.0016746,37.53725536
서울특별시 용산구 새창로 128-1,음식,126.9609653,37.53610465
서울특별시 용산구 한강대로81길 5,음식,126.9719716,37.54300043
서울특별시 용산구 보광로 41,보건의료,126.9992646,37.52775882
서울특별시 용산구 원효로41길 14,소매,126.9584771,37.53434685
서울특별시 용산구 녹사평대로40길 43-6,음식,126.9883577,37.53472299
